project_id,target_label,top_k_project_ids,top_k_similarity_scores,top_k_labels,neighbor_low_ratio,neighbor_mid_ratio,neighbor_high_ratio,mean_similarity,max_similarity,retrieval_text_policy
112878,High,16788|9409|154329|125463|94341,0.420198|0.418653|0.414321|0.167260|0.158722,High|Mid|High|Mid|Mid,0.0,0.6,0.4,0.315830698740763,0.420197566030878,Description-centered TF-IDF; title/benefits are auxiliary context.
12089,Mid,17982|11007|146111|95678|9840,0.144184|0.138286|0.131884|0.130013|0.122049,Low|Low|Low|Mid|Mid,0.6,0.4,0.0,0.13328339016703128,0.14418433683466045,Description-centered TF-IDF; title/benefits are auxiliary context.
158539,Mid,9692|112920|125794|90989|125792,0.150886|0.149008|0.147391|0.138066|0.135386,High|Mid|High|Low|Mid,0.2,0.4,0.4,0.14414737245047596,0.15088567741645048,Description-centered TF-IDF; title/benefits are auxiliary context.
113165,Low,154464|17771|8865|18410|9140,0.753560|0.232518|0.231885|0.186528|0.173426,Low|Mid|Mid|Mid|Low,0.4,0.6,0.0,0.3155834305835586,0.753560273651346,Description-centered TF-IDF; title/benefits are auxiliary context.
94858,Mid,17380|14640|94832|117118|93261,0.138585|0.130898|0.129206|0.126342|0.118602,Mid|High|Low|Mid|Mid,0.2,0.6,0.2,0.12872651407398145,0.13858454463148956,Description-centered TF-IDF; title/benefits are auxiliary context.
33603,Mid,87659|34026|10567|9023|102185,0.191657|0.179996|0.166673|0.163720|0.148807,Mid|Mid|Low|Mid|Mid,0.2,0.8,0.0,0.17017050377130433,0.19165683309703818,Description-centered TF-IDF; title/benefits are auxiliary context.
91729,Mid,18619|9203|8268|9898|96560,0.284857|0.217362|0.186854|0.167979|0.152828,Mid|Mid|Mid|Mid|Low,0.2,0.8,0.0,0.2019758539316414,0.2848570812187769,Description-centered TF-IDF; title/benefits are auxiliary context.
92581,Mid,89850|33172|33358|106049|93472,0.295663|0.289674|0.176276|0.160373|0.156814,Mid|Low|Low|Low|Mid,0.6,0.4,0.0,0.21575998513650668,0.29566295750965665,Description-centered TF-IDF; title/benefits are auxiliary context.
8982,Mid,9837|8549|23597|33432|8700,0.320228|0.176951|0.169880|0.167312|0.150094,Low|Mid|Mid|Low|Mid,0.4,0.6,0.0,0.1968930365059829,0.3202279149964325,Description-centered TF-IDF; title/benefits are auxiliary context.
95640,Low,106031|106055|146330|95040|13755,0.183136|0.147201|0.137307|0.133851|0.128818,Low|Low|Low|Low|Low,1.0,0.0,0.0,0.14606253190102933,0.1831356387923376,Description-centered TF-IDF; title/benefits are auxiliary context.
9850,Mid,9088|9512|93647|8826|18104,0.247562|0.198574|0.187551|0.171684|0.167652,Low|Mid|Mid|Mid|High,0.2,0.6,0.2,0.19460468000480796,0.24756183527845085,Description-centered TF-IDF; title/benefits are auxiliary context.
33412,Mid,34155|90203|33417|157706|33553,0.186816|0.169495|0.169238|0.168064|0.165842,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.1718911145684136,0.18681595898059766,Description-centered TF-IDF; title/benefits are auxiliary context.
125823,Mid,113236|18041|125322|93435|16584,0.217585|0.211896|0.211885|0.208937|0.208265,Low|Low|Mid|Mid|Low,0.6,0.4,0.0,0.2117134963975864,0.217585002119812,Description-centered TF-IDF; title/benefits are auxiliary context.
